# Mag 	 Suszeptibilitaet 	 Korrelationslaenge 	 x
0.583	5392.9525	3545.7697	17.728848
0.695	4617.8392	4601.3739	23.00687
0.5697	3744.0347	3446.8515	17.234257
0.56575	4915.5925	3905.9046	19.529523
0.575	5388.3115	3539.5422	17.697711
0.5924	7020.728	4054.2679	20.271339
0.629	11152.544	5056.428	25.28214
0.69835	11935.989	5231.0162	26.155081
0.62835	11483.16	5130.8293	25.654147
0.6498	5254.8275	3728.2024	18.641012
0.58405	10784.579	4972.313	24.861565
0.6653	7098.3727	4044.0068	20.220034
0.6332	5445.882	4469.377	22.346885
0.5648	10834.304	4983.7628	24.918814
0.66145	10519.821	4910.8995	24.554497
0.6706	12042.953	5254.4026	26.272013
0.6131	7401.1427	4152.157	20.760785
0.60705	5011.5065	3631.4694	18.157347
0.5429	4035.3716	3403.6962	17.018481
0.6611	6921.72	3992.4237	19.962119
0.5221	7001.5747	4015.3885	20.076942
0.5721	6374.524	4681.9457	23.409728
-0.6147	8153.7213	4323.4947	21.617473
-0.65155	11106.355	5045.9464	25.229732
-0.28735	6594.64	3901.7359	19.50868
0.60885	8341.7187	4373.0518	21.865259
0.56405	7308.3227	5013.1574	25.065787
0.5384	6856.1567	4855.5994	24.277997
0.65585	3402.4423	3277.8565	16.389283
0.67495	11705.928	5180.358	25.90179
0.64215	5358.366	4082.9937	20.414968
0.58575	4407.9776	4495.5996	22.477998
0.6579	7127.5447	4950.7667	24.753834
0.62535	5534.1715	4214.4496	21.072248
0.50745	3396.0333	3360.8096	16.804048
0.63755	10395.84	4881.8752	24.409376
0.67035	7938.6147	4287.7281	21.43864
0.6737	7683.286	4225.114	21.12557
0.62105	7507.9593	4149.0731	20.745366
0.5943	7295.21	5008.658	25.04329
0.38015	9699.027	4715.4271	23.577135
0.68645	3218.644	2871.237	14.356185
0.6705	7922.5553	4342.888	21.71444
0.62355	11384.373	5108.7119	25.54356
0.6805	11175.307	5061.5856	25.307928
0.6713	11522.056	5139.5115	25.697558
0.65305	11411.777	5114.8569	25.574285
0.5536	7484.0913	4172.4356	20.862178
0.6898	11436.308	5120.3518	25.601759
0.7062	8120.1293	4341.3969	21.706984
0.6783	7790.3973	4261.6692	21.308346
0.53015	3250.91	2923.4495	14.617247
0.6325	5377.4825	4123.5435	20.617717
0.62265	5749.6465	3649.1609	18.245805
0.6327	10896.847	4998.1269	24.990635
0.54115	6984.3367	4900.7786	24.503893
0.6409	7576.9113	5104.4458	25.522229
